epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,3311.62,1.32308,2.2863,1.60267,0.41825,0.53038,0.39296,0.2006,0.75674,1.73869,0.7756,0.0014852,0.0014852,0.0014852
15,4735.57,1.29028,2.2974,1.58503,0.45041,0.55191,0.38091,0.20385,0.83293,1.88995,0.80577,0.0014456,0.0014456,0.0014456
15,4206,1.29028,2.2974,1.58503,0.45041,0.55191,0.38091,0.20385,0.83293,1.88995,0.80577,0.0014456,0.0014456,0.0014456
15,3520.07,1.30468,2.28514,1.59878,0.4759,0.38525,0.38768,0.19636,0.7612,1.44818,0.75721,0.0014456,0.0014456,0.0014456
16,4959.29,1.27898,2.17195,1.56427,0.36068,0.56011,0.38372,0.21065,0.79875,1.46578,0.75094,0.001406,0.001406,0.001406
16,4444.08,1.27898,2.17195,1.56427,0.36068,0.56011,0.38372,0.21065,0.79875,1.46578,0.75094,0.001406,0.001406,0.001406
16,3756.45,1.28235,2.16711,1.57718,0.34789,0.59016,0.37497,0.21297,0.75491,1.85445,0.74958,0.001406,0.001406,0.001406
17,5181.18,1.26572,2.11301,1.55622,0.3806,0.6128,0.37617,0.18163,0.87054,1.96807,0.78723,0.0013664,0.0013664,0.0013664
17,4670.33,1.26572,2.11301,1.55622,0.3806,0.6128,0.37617,0.18163,0.87054,1.96807,0.78723,0.0013664,0.0013664,0.0013664
17,3982.68,1.26861,2.11163,1.55382,0.34892,0.59563,0.3878,0.18261,0.86731,2.22136,0.78682,0.0013664,0.0013664,0.0013664
17,237.283,1.22469,2.28527,1.53108,0.4418,0.51913,0.36594,0.20376,0.78618,1.41756,0.74615,0.0013664,0.0013664,0.0013664
18,4438.29,1.23849,2.16774,1.54673,0.41986,0.43169,0.34285,0.15244,0.88253,1.34823,0.82249,0.0013268,0.0013268,0.0013268
18,5126.11,1.25535,2.16091,1.5479,0.40005,0.5765,0.37198,0.20563,0.78408,1.30162,0.78051,0.0013268,0.0013268,0.0013268
18,854.354,1.23811,2.2271,1.53216,0.41606,0.54315,0.4066,0.22414,0.7193,1.20666,0.74465,0.0013268,0.0013268,0.0013268
19,5109.26,1.23761,2.33246,1.52771,0.39532,0.49454,0.36657,0.16398,0.83426,2.12455,0.79908,0.0012872,0.0012872,0.0012872
19,5797.74,1.2233,2.33,1.52225,0.37964,0.55191,0.37275,0.17915,0.8334,1.54994,0.8045,0.0012872,0.0012872,0.0012872
19,1518.14,1.20836,2.3212,1.50079,0.43765,0.48634,0.40132,0.17881,0.83749,1.15537,0.76984,0.0012872,0.0012872,0.0012872
20,5767.02,1.21729,2.21572,1.51267,0.43946,0.50125,0.39911,0.19017,0.84635,1.21559,0.78536,0.0012476,0.0012476,0.0012476
20,6456.01,1.21293,2.23342,1.50304,0.5004,0.54372,0.4613,0.26017,0.73137,1.09474,0.72371,0.0012476,0.0012476,0.0012476
20,2151.98,1.23684,2.20249,1.52271,0.41531,0.4619,0.36257,0.21768,0.73399,1.44057,0.75182,0.0012476,0.0012476,0.0012476
21,6379.28,1.20171,2.23348,1.50238,0.37867,0.5262,0.36042,0.19853,0.76487,1.29792,0.7608,0.001208,0.001208,0.001208
21,7068.57,1.20818,2.23513,1.50093,0.3375,0.62842,0.36063,0.20546,0.7635,1.16581,0.78298,0.001208,0.001208,0.001208
21,2745.93,1.22566,2.15159,1.52322,0.38525,0.59587,0.38196,0.20439,0.8088,1.41536,0.76869,0.001208,0.001208,0.001208
22,7689.29,1.20169,2.25625,1.49708,0.32456,0.63661,0.37583,0.20133,0.81796,1.66297,0.75149,0.0011684,0.0011684,0.0011684
22,7001.63,1.18374,2.23635,1.49153,0.35239,0.65027,0.42126,0.23641,0.72022,1.52902,0.71143,0.0011684,0.0011684,0.0011684
22,3452.96,1.16788,2.27111,1.4635,0.45468,0.55129,0.40819,0.21121,0.79009,1.27716,0.76281,0.0011684,0.0011684,0.0011684
23,139.869,1.14895,2.13917,1.47817,0.40709,0.5765,0.37498,0.21474,0.81851,1.18259,0.76173,0.0011288,0.0011288,0.0011288
24,231.269,1.14943,2.095,1.4689,0.46142,0.56831,0.42022,0.23429,0.75109,1.09254,0.73946,0.0010892,0.0010892,0.0010892
25,312.844,1.12305,2.19762,1.43823,0.49097,0.50862,0.42749,0.2349,0.76122,1.12633,0.71886,0.0010496,0.0010496,0.0010496
26,424.675,1.12897,2.08328,1.45315,0.47229,0.55191,0.39914,0.22753,0.77526,1.36613,0.78034,0.00101,0.00101,0.00101
27,732.651,1.12724,2.04556,1.46023,0.4967,0.55191,0.44204,0.24843,0.72933,1.19529,0.73066,0.0009704,0.0009704,0.0009704
28,1022.61,1.09341,2.11645,1.42062,0.43464,0.58197,0.39581,0.2318,0.70941,1.06591,0.70046,0.0009308,0.0009308,0.0009308
29,1384.61,1.14121,2.11186,1.46787,0.43526,0.58197,0.43301,0.23379,0.74629,1.32504,0.72214,0.0008912,0.0008912,0.0008912
30,1729.51,1.11815,2.09657,1.45512,0.46219,0.54918,0.41971,0.24715,0.71431,1.07327,0.71586,0.0008516,0.0008516,0.0008516
31,2087.8,1.07105,2.1128,1.42042,0.56986,0.49454,0.46461,0.24215,0.75689,1.17414,0.74563,0.000812,0.000812,0.000812
32,2434.19,1.11774,2.13527,1.44195,0.46105,0.5259,0.3996,0.22529,0.78171,1.16621,0.73473,0.0007724,0.0007724,0.0007724
33,2795.89,1.13181,2.06513,1.46063,0.44204,0.55738,0.41744,0.23014,0.7687,1.09685,0.73165,0.0007328,0.0007328,0.0007328
34,3089.93,1.11644,1.8871,1.4668,0.50826,0.54098,0.44498,0.23147,0.8148,1.17872,0.72824,0.0006932,0.0006932,0.0006932
35,3180.51,1.0776,2.05702,1.41131,0.40547,0.5765,0.41268,0.23599,0.75364,1.16175,0.69959,0.0006536,0.0006536,0.0006536
36,3272.59,1.08101,1.99147,1.43377,0.43525,0.56557,0.42272,0.24614,0.7517,1.1009,0.69501,0.000614,0.000614,0.000614
37,3362.14,1.07573,1.95573,1.43148,0.47368,0.54372,0.42777,0.25783,0.77451,1.0826,0.71429,0.0005744,0.0005744,0.0005744
38,3449.06,1.05508,1.88857,1.41973,0.50408,0.56557,0.44734,0.27392,0.69069,1.05373,0.6706,0.0005348,0.0005348,0.0005348
39,3535.69,1.05701,1.81491,1.41555,0.46105,0.5765,0.46253,0.27799,0.72047,1.08973,0.67901,0.0004952,0.0004952,0.0004952
40,3629.11,1.04607,1.89126,1.41559,0.48779,0.55191,0.44531,0.2607,0.73312,1.08877,0.70256,0.0004556,0.0004556,0.0004556
41,3729.2,0.75401,1.85748,1.1316,0.4799,0.53447,0.47448,0.25875,0.79597,1.11313,0.73379,0.000416,0.000416,0.000416
42,3815.02,0.68905,1.64371,1.05951,0.48601,0.52446,0.48667,0.26322,0.84519,1.09136,0.75888,0.0003764,0.0003764,0.0003764
43,3916.67,0.72031,1.6561,1.11356,0.55794,0.54485,0.51915,0.30548,0.73463,1.14084,0.70506,0.0003368,0.0003368,0.0003368
44,4011.72,0.66731,1.57807,1.06236,0.50055,0.58197,0.47904,0.26667,0.80205,1.1026,0.72915,0.0002972,0.0002972,0.0002972
45,4107.79,0.62047,1.49744,1.00648,0.50586,0.5706,0.52203,0.2913,0.76105,1.07368,0.69744,0.0002576,0.0002576,0.0002576
46,4213.63,0.65554,1.51669,1.05568,0.55672,0.53825,0.53776,0.31768,0.72792,1.08387,0.69047,0.000218,0.000218,0.000218
47,4325.16,0.65798,1.60064,1.0681,0.50302,0.53825,0.48593,0.2967,0.72905,1.01276,0.66934,0.0001784,0.0001784,0.0001784
48,4503.8,0.62871,1.45197,1.03152,0.51558,0.54918,0.50685,0.30279,0.72688,1.05578,0.66713,0.0001388,0.0001388,0.0001388
49,4722.97,0.62248,1.44261,1.00926,0.53415,0.54197,0.51922,0.31854,0.67878,1.05813,0.65472,9.92e-05,9.92e-05,9.92e-05
50,4940.79,0.62133,1.44568,1.03393,0.52206,0.55738,0.5203,0.3149,0.69552,1.04315,0.66323,5.96e-05,5.96e-05,5.96e-05
