epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,9771.46,0.88174,1.08305,1.1839,0.77756,0.818,0.81524,0.75951,0.43745,0.55052,1.13542,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,10449.2,0.87255,1.06966,1.18339,0.77611,0.81505,0.81692,0.7596,0.43373,0.54991,1.13435,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,11126.5,0.87038,1.0621,1.18211,0.7844,0.81798,0.8207,0.76349,0.42589,0.5353,1.13152,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,11801.4,0.87434,1.06505,1.18497,0.78901,0.81515,0.82407,0.76586,0.42343,0.52367,1.13113,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,12479.7,0.87197,1.05145,1.18373,0.79675,0.80258,0.82565,0.768,0.41961,0.51613,1.12984,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,13159.6,0.87045,1.04776,1.1829,0.79678,0.79871,0.82644,0.76877,0.41948,0.51421,1.13031,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,13837.1,0.85914,1.03916,1.17746,0.80775,0.79127,0.82698,0.76913,0.41787,0.51288,1.13012,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,14515.9,0.85766,1.02566,1.1752,0.79628,0.79798,0.82633,0.77001,0.41582,0.51542,1.1291,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,15193.7,0.85015,1.0106,1.17153,0.79381,0.80051,0.82676,0.77018,0.41601,0.51731,1.12903,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,15866.7,0.8497,1.00608,1.17193,0.79088,0.80228,0.82588,0.7703,0.41695,0.52117,1.1291,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,16545.3,0.84113,0.99507,1.16506,0.7896,0.79755,0.82519,0.77026,0.41566,0.52319,1.12875,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,17226.5,0.82885,0.97658,1.15869,0.78799,0.80103,0.8243,0.77088,0.41221,0.52572,1.12757,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,17905.1,0.82082,0.96158,1.15311,0.78145,0.80401,0.82331,0.77139,0.40865,0.52918,1.12648,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,18582.9,0.82758,0.96438,1.15591,0.77413,0.80923,0.8216,0.77068,0.40809,0.53429,1.12618,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,19258.9,0.81176,0.95227,1.14674,0.77416,0.80414,0.8195,0.76941,0.40827,0.54092,1.1259,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,19938.5,0.80868,0.93855,1.14467,0.77574,0.79903,0.81816,0.76892,0.40643,0.54587,1.12522,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,20615.5,0.80044,0.92476,1.14199,0.773,0.8024,0.81717,0.76851,0.40499,0.54958,1.12459,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,21294.7,0.80267,0.93069,1.14174,0.76704,0.80512,0.81569,0.76723,0.40485,0.5551,1.12447,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,21970.9,0.79555,0.91559,1.1379,0.76736,0.80027,0.81361,0.76599,0.40254,0.56171,1.12388,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,22649.6,0.7835,0.90003,1.13184,0.77338,0.79439,0.81269,0.76578,0.40216,0.56734,1.12379,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,23326.5,0.78605,0.89935,1.13333,0.77038,0.79422,0.81109,0.76469,0.40164,0.57568,1.12349,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,24000.2,0.7716,0.88718,1.12567,0.76989,0.79001,0.80952,0.76417,0.40069,0.584,1.12312,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,24678,0.7649,0.86939,1.1202,0.76849,0.78887,0.80852,0.76368,0.39854,0.58913,1.1226,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,25351.4,0.75714,0.85597,1.11523,0.76797,0.78712,0.80803,0.76382,0.3962,0.59519,1.12189,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,26028.6,0.75623,0.8549,1.11253,0.76812,0.78712,0.80767,0.76295,0.39504,0.60138,1.12145,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,26706.3,0.75544,0.85235,1.11703,0.76793,0.78653,0.8063,0.7625,0.39387,0.60868,1.12096,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,27386.1,0.74302,0.83915,1.10758,0.76531,0.78816,0.80491,0.76182,0.39249,0.61294,1.12059,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,28067.8,0.73561,0.82802,1.10374,0.76555,0.78711,0.80424,0.76122,0.39155,0.61576,1.12026,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,28745.4,0.73182,0.81814,1.10575,0.75913,0.79284,0.80423,0.76153,0.39129,0.61671,1.11997,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,29429,0.73028,0.81074,1.10059,0.75913,0.79149,0.80304,0.76065,0.38988,0.6212,1.11954,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,30052.4,0.62504,0.64275,1.1216,0.76082,0.79012,0.80203,0.76015,0.38863,0.62567,1.11914,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,30675.5,0.60372,0.62417,1.1085,0.76059,0.78482,0.80105,0.75974,0.38751,0.63091,1.11875,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,31298,0.58699,0.61047,1.09551,0.76073,0.78348,0.79991,0.75886,0.38656,0.63419,1.11833,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,31925.9,0.5836,0.6074,1.09659,0.75695,0.78682,0.79863,0.75724,0.38597,0.6369,1.11807,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,32546.3,0.56768,0.60176,1.08627,0.75571,0.78136,0.79652,0.75612,0.385,0.64396,1.11774,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,33163.9,0.55849,0.59033,1.07854,0.75229,0.78356,0.795,0.75526,0.38368,0.65007,1.11721,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,33785.5,0.55036,0.58416,1.07384,0.75021,0.78182,0.79402,0.75414,0.38275,0.65515,1.11669,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,34396.7,0.55002,0.58473,1.07616,0.75223,0.77812,0.79254,0.75304,0.38113,0.65979,1.11601,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,35003,0.54054,0.57452,1.0691,0.75179,0.77514,0.7907,0.75168,0.37952,0.66754,1.11544,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,35606.8,0.53483,0.57012,1.06922,0.7526,0.77798,0.78845,0.75008,0.37789,0.67617,1.11484,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
