epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,1540.83,2.24335,6.19669,2.23749,0.00072,0.89,0.005,0.001,0.6576,13.1875,0.65331,0.00128702,0.00128702,0.00128702
1,1007.78,2.36205,10.6042,2.28834,0.00042,0.7,0.0005,0.00015,0.67249,50.852,0.64308,0.000664277,0.000664277,0.000664277
